bid,from_sh,to_sh,gfa_before,gfa_after,h_before,h_after,area,weakness
866,developer,state,154421.3,154421.3,78.0,78.0,1979.8,0.2929
858,developer,state,143362.77,143362.77,126.0,126.0,1137.8,0.0
871,developer,state,135502.69,135502.69,42.0,42.0,3226.3,0.3657
872,developer,state,124079.23,124079.23,126.0,126.0,984.8,0.2929
788,developer,state,121086.71,121086.71,78.0,78.0,1552.4,0.2929
868,developer,state,91143.69,91143.69,30.0,30.0,3038.1,0.4877
617,developer,state,87953.31,87953.31,120.0,120.0,732.9,0.2357
865,developer,state,60896.3,60896.3,36.0,36.0,1691.6,0.1339
857,developer,state,51978.55,51978.55,36.0,36.0,1443.8,0.4124
855,developer,state,46934.96,46934.96,30.0,30.0,1564.5,0.4735
873,developer,state,46247.33,46247.33,24.0,24.0,1927.0,0.0118
789,developer,state,46234.87,46234.87,36.0,36.0,1284.3,0.1339
867,developer,state,45838.84,45838.84,36.0,36.0,1273.3,0.3047
874,developer,state,44958.71,44958.71,24.0,24.0,1873.3,0.3047
619,developer,state,28658.2,28658.2,36.0,36.0,796.1,0.3553
784,developer,state,8397.68,8397.68,12.0,12.0,699.8,0.5851
790,developer,state,6196.01,6196.01,12.0,12.0,516.3,0.6708
783,developer,state,2738.48,2738.48,24.0,24.0,114.1,0.2559
875,developer,state,2307.12,2307.12,24.0,24.0,96.1,0.1745
859,developer,state,1467.58,1467.58,6.0,6.0,244.6,0.439
853,developer,state,919.98,919.98,6.0,6.0,153.3,0.439
1569,developer,state,827.15,827.15,6.0,6.0,137.9,0.6115
