bid,from_sh,to_sh,gfa_before,gfa_after,h_before,h_after,area,weakness
306,developer,state,1325.06,1325.06,6.0,6.0,220.8,0.7063
303,developer,state,10929.76,10929.76,12.0,12.0,910.8,0.6341
17,developer,state,14910.91,14910.91,18.0,18.0,828.4,0.5547
21,developer,state,167.34,167.34,18.0,18.0,9.3,0.5547
22,developer,state,351.15,351.15,18.0,18.0,19.5,0.5547
23,developer,state,175.56,175.56,18.0,18.0,9.8,0.5547
28,developer,state,299.09,299.09,18.0,18.0,16.6,0.5547
302,developer,state,2798.27,2798.27,6.0,6.0,466.4,0.4206
304,developer,state,4568.69,4568.69,6.0,6.0,761.4,0.4206
308,developer,state,8824.47,8824.47,6.0,6.0,1470.7,0.4206
119,developer,state,23920.47,23920.47,30.0,30.0,797.3,0.3959
546,developer,state,21209.68,21209.68,30.0,30.0,707.0,0.3959
120,developer,state,2515.09,2515.09,12.0,12.0,209.6,0.3412
199,developer,state,14573.13,14573.13,12.0,12.0,1214.4,0.3412
200,developer,state,12711.45,12711.45,12.0,12.0,1059.3,0.3412
311,developer,state,13859.55,13859.55,12.0,12.0,1155.0,0.3412
312,developer,state,1474.28,1474.28,12.0,12.0,122.9,0.3412
98,developer,state,77377.0,77377.0,36.0,36.0,2149.4,0.3165
450,developer,state,22356.02,22356.02,36.0,36.0,621.0,0.3165
2,developer,state,56256.86,56256.86,54.0,54.0,1041.8,0.2929
14,developer,state,132811.58,132811.58,90.0,90.0,1475.7,0.2929
18,developer,state,81676.44,81676.44,96.0,96.0,850.8,0.2929
20,developer,state,82275.05,82275.05,96.0,96.0,857.0,0.2929
121,developer,state,59789.11,59789.11,78.0,78.0,766.5,0.2929
143,developer,state,52839.68,52839.68,84.0,84.0,629.0,0.2929
145,developer,state,74822.09,74822.09,72.0,72.0,1039.2,0.2929
193,developer,state,80775.26,80775.26,72.0,72.0,1121.9,0.2929
197,developer,state,23506.11,23506.11,72.0,72.0,326.5,0.2929
198,developer,state,37731.43,37731.43,120.0,120.0,314.4,0.2929
234,developer,state,141634.52,141634.52,120.0,120.0,1180.3,0.2929
501,developer,state,62959.11,62959.11,90.0,90.0,699.5,0.2929
545,developer,state,74246.16,74246.16,90.0,90.0,825.0,0.2929
547,developer,state,102342.38,102342.38,120.0,120.0,852.9,0.2929
0,developer,state,20590.28,20590.28,18.0,18.0,1143.9,0.2618
103,developer,state,3283.9,3283.9,18.0,18.0,182.4,0.2618
144,developer,state,12313.14,12313.14,18.0,18.0,684.1,0.2618
549,developer,state,2447.35,2447.35,18.0,18.0,136.0,0.2618
106,developer,state,135592.89,135592.89,108.0,108.0,1255.5,0.0
122,developer,state,100665.93,100665.93,90.0,90.0,1118.5,0.0
201,developer,state,99813.92,99813.92,150.0,150.0,665.4,0.0
305,developer,state,104801.71,104801.71,150.0,150.0,698.7,0.0
307,developer,state,50227.41,50227.41,150.0,150.0,334.8,0.0
309,developer,state,124920.76,124920.76,150.0,150.0,832.8,0.0
310,developer,state,58250.75,58250.75,150.0,150.0,388.3,0.0
449,developer,state,101573.91,101573.91,120.0,120.0,846.4,0.0
